Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.165409
Longitude: -34.815627
Altitude: 33.5
Situacao: Operante
Data Inicial: 2009-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2009-01-22;0200;-3,202;
2009-01-22;0300;-3,538;
2009-01-22;0400;-3,54;
2009-01-22;0500;-3,406;
2009-01-22;0600;-3,54;
2009-01-22;0700;-3,456;
2009-01-22;0800;-3,504;
2009-01-22;0900;34,919;
2009-01-22;1000;465,46;
2009-01-22;1100;662,811;
2009-01-22;1200;1362,966;
2009-01-22;1300;2232,148;
2009-01-22;1400;3355,025;
2009-01-22;1500;3167,654;
2009-01-22;1600;3707,004;
2009-01-22;1700;3165,599;
2009-01-22;1800;2853,968;
2009-01-22;1900;1767,401;
2009-01-22;2000;547,988;
2009-01-22;2100;249,851;
2009-01-22;2200;-3,177;
2009-01-22;2300;-3,54;
2009-01-23;0000;-3,54;
2009-01-23;0100;-3,54;
2009-01-23;0200;-3,54;
2009-01-23;0300;-3,54;
2009-01-23;0400;-3,535;
2009-01-23;0500;-3,54;
2009-01-23;0600;-3,54;
2009-01-23;0700;-3,405;
2009-01-23;0800;-3,497;
2009-01-23;0900;28,315;
2009-01-23;1000;209,777;
2009-01-23;1100;748,344;
2009-01-23;1200;1006,61;
2009-01-23;1300;1203,388;
2009-01-23;1400;3467,555;
2009-01-23;1500;3362,533;
2009-01-23;1600;3355,963;
2009-01-23;1700;3362,326;
2009-01-23;1800;2840,187;
2009-01-23;1900;1982,059;
2009-01-23;2000;1036,588;
2009-01-23;2100;179,419;
2009-01-23;2200;-2,752;
2009-01-23;2300;-3,526;
2009-01-24;0000;-3,534;
2009-01-24;0100;-2,976;
2009-01-24;0200;-3,501;
2009-01-24;0300;-3,066;
2009-01-24;0400;-2,821;
2009-01-24;0500;-3,453;
2009-01-24;0600;-3,324;
2009-01-24;0700;-3,417;
2009-01-24;0800;-3,234;
2009-01-24;0900;14,386;
2009-01-24;1000;600,231;
2009-01-24;1100;1140,839;
2009-01-24;1200;1589,165;
